Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
uniform,euclidean,kd_tree,3,186,0.9439334227127355,0.9439252336448598,0.9438792790470942
uniform,euclidean,kd_tree,4,189,0.9436263246124427,0.9430208019294544,0.9430996079745702
uniform,euclidean,kd_tree,5,196,0.9409560333905189,0.9409104612601749,0.9408444655002345
uniform,euclidean,kd_tree,6,210,0.9370417145990817,0.936689779921616,0.9367547749979825
uniform,euclidean,kd_tree,7,210,0.9366786100225534,0.936689779921616,0.9366424822174977
uniform,euclidean,kd_tree,8,214,0.9356514250553202,0.9354838709677419,0.9355262033601239
uniform,euclidean,kd_tree,9,210,0.936713215205858,0.936689779921616,0.9366238485354476
uniform,euclidean,kd_tree,10,221,0.9334915583171707,0.9333735302984625,0.9334078417173187
uniform,euclidean,kd_tree,15,217,0.9345832562942555,0.9345794392523364,0.9345186236067428
uniform,euclidean,kd_tree,20,239,0.9279345655009728,0.9279469400060295,0.927939986348908
uniform,euclidean,kd_tree,25,257,0.9225955057730174,0.9225203497135966,0.9224005997456183
uniform,euclidean,kd_tree,30,240,0.9277473994552017,0.9276454627675611,0.9275307316677326
uniform,euclidean,kd_tree,50,269,0.9191906669791964,0.9189026228519747,0.9187092805922742
uniform,euclidean,kd_tree,100,315,0.9057701646486952,0.9050346698824239,0.9046751527009254
uniform,euclidean,brute,1,139,0.9582269916441383,0.9580946638528791,0.9580398145478629
uniform,euclidean,brute,2,199,0.9414876612565481,0.9400060295447694,0.9401282249592862
uniform,euclidean,brute,3,184,0.9446302517858537,0.9445281881217968,0.9444534200299411
uniform,euclidean,brute,4,194,0.9421024236803967,0.9415134157371119,0.9415929927478083
uniform,euclidean,brute,5,198,0.9403390943415709,0.9403075067832378,0.9402453429048505
uniform,euclidean,brute,6,205,0.9383298962701561,0.9381971661139584,0.9382325179835505
uniform,euclidean,brute,7,209,0.9370476610162156,0.9369912571600845,0.9369136610795774
uniform,euclidean,brute,8,225,0.9323744431251396,0.9321676213445885,0.9322177232271505
uniform,euclidean,brute,9,228,0.9313258537637376,0.931263189629183,0.9311705422110139
uniform,euclidean,brute,10,232,0.9301689007012749,0.930057280675309,0.9300912859162822
uniform,euclidean,brute,15,208,0.9372698485715099,0.9372927343985529,0.9372592312084594
uniform,euclidean,brute,20,239,0.9279516918581416,0.9279469400060295,0.927949230815436
uniform,euclidean,brute,25,250,0.9247219544848028,0.924630690382876,0.9245111788205548
uniform,euclidean,brute,30,251,0.9243398636746821,0.9243292131444076,0.9242418210013549
uniform,euclidean,brute,50,271,0.9185843786418787,0.9182996683750377,0.9181048886264176
uniform,euclidean,brute,100,311,0.9070788360404594,0.9062405788362978,0.9058668723270631
uniform,manhattan,ball_tree,1,104,0.9690109710627801,0.9686463671992764,0.9685863738491645
uniform,manhattan,ball_tree,2,145,0.9567847373030939,0.9562858004220681,0.956342283431036
uniform,manhattan,ball_tree,3,149,0.9553163718465325,0.9550798914681942,0.9550032056409353
uniform,manhattan,ball_tree,4,154,0.9536319562234521,0.9535725052758517,0.9535896433846056
uniform,manhattan,ball_tree,5,177,0.9470799304958076,0.9466385287910762,0.9465113110216824
uniform,manhattan,ball_tree,6,182,0.9451695698672146,0.9451311425987338,0.9451448099614793
uniform,manhattan,ball_tree,7,172,0.9483436729014749,0.9481459149834187,0.9480595013871442
uniform,manhattan,ball_tree,8,169,0.9490420811759749,0.9490503466988243,0.9490454296776796
uniform,manhattan,ball_tree,9,188,0.9437283581339111,0.9433222791679228,0.9431896344005256
uniform,manhattan,ball_tree,10,188,0.9433385150779324,0.9433222791679228,0.9432716815133638
uniform,manhattan,ball_tree,15,188,0.9436637615549885,0.9433222791679228,0.9431994426052562
uniform,manhattan,ball_tree,20,190,0.9428160156919289,0.9427193246909858,0.9426421185091783
uniform,manhattan,ball_tree,25,197,0.9412022447724437,0.9406089840217063,0.9404407858339865
uniform,manhattan,ball_tree,30,202,0.9394848113170529,0.9391015978293639,0.9389590752601393
uniform,manhattan,ball_tree,50,228,0.932429205368791,0.931263189629183,0.930978766187632
uniform,manhattan,ball_tree,100,283,0.9167754534075128,0.9146819415134158,0.9141664762382113
uniform,manhattan,kd_tree,1,105,0.9686922928105018,0.9683448899608079,0.9682856378041184
uniform,manhattan,kd_tree,2,147,0.956259451514026,0.9556828459451311,0.9557441395357769
uniform,manhattan,kd_tree,3,152,0.9544215373850055,0.9541754597527886,0.954095356847078
uniform,manhattan,kd_tree,4,153,0.9539264564210351,0.9538739825143202,0.9538896379902068
uniform,manhattan,kd_tree,5,174,0.9480437701479967,0.9475429605064818,0.9474109549172127
uniform,manhattan,kd_tree,6,184,0.9445669085389065,0.9445281881217968,0.9445420056753417
uniform,manhattan,kd_tree,7,170,0.9489735907251444,0.9487488694603557,0.948659280684232
