Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
uniform,euclidean,brute,7,5,0.7849462365591399,0.8387096774193549,0.7981566820276497
uniform,euclidean,brute,8,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,euclidean,brute,9,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,brute,10,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,brute,15,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,brute,20,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,brute,25,9,0.529032258064516,0.7096774193548387,0.6055693410532119
uniform,euclidean,brute,30,13,0.3655913978494623,0.5806451612903226,0.444995864350703
uniform,manhattan,ball_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
uniform,manhattan,ball_tree,2,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,ball_tree,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,ball_tree,4,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,ball_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,ball_tree,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,ball_tree,7,3,0.880184331797235,0.9032258064516129,0.8787878787878788
uniform,manhattan,ball_tree,8,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,manhattan,ball_tree,9,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,manhattan,ball_tree,10,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,manhattan,ball_tree,15,6,0.6750561266690299,0.8064516129032258,0.7287878787878789
uniform,manhattan,ball_tree,20,6,0.7288195675292449,0.8064516129032258,0.7524437927663735
uniform,manhattan,ball_tree,25,7,0.6356296033715388,0.7741935483870968,0.6942527744235524
uniform,manhattan,ball_tree,30,8,0.6121351766513057,0.7419354838709677,0.658494623655914
uniform,manhattan,kd_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
uniform,manhattan,kd_tree,2,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,kd_tree,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,kd_tree,4,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,kd_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,kd_tree,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,kd_tree,7,3,0.880184331797235,0.9032258064516129,0.8787878787878788
uniform,manhattan,kd_tree,8,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,manhattan,kd_tree,9,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,manhattan,kd_tree,10,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,manhattan,kd_tree,15,6,0.6750561266690299,0.8064516129032258,0.7287878787878789
uniform,manhattan,kd_tree,20,6,0.7288195675292449,0.8064516129032258,0.7524437927663735
uniform,manhattan,kd_tree,25,7,0.6356296033715388,0.7741935483870968,0.6942527744235524
uniform,manhattan,kd_tree,30,8,0.6121351766513057,0.7419354838709677,0.658494623655914
uniform,manhattan,brute,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
uniform,manhattan,brute,2,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
